code,text
%,%
%O,0%
1,One
10,Days
11,Week
12,Month
13,Year
14,Week
15,Decade
22S,mm2/s
2M,cm/s
2P,kbyte
2X,m/min
4G,µl
4L,Mbyte
4O,µF
4T,pF
A,A
A87,GOhm
A93,g/m3
ACR,Acre
AD,byte
B34,kg/dm3
B45,kmol
B47,ND
B73,MN
B75,MOhm
B78,MV
B84,µA
BAG,Bag
BAR,bar
BB6,Barrel 60F
BBL,Barrels
BC1,BTUCF1502D
BC2,BTUCF1473D
BC3,BTUCF1465D
BM2,Bq/m2
BOE,BOE
BOT,Bottle
BQ,Bq
BQ2,Bq/cm2
BQG,Bq/g
BQK,Bq/kg
BTU,BTU
Bqm,Bq/m3
C10,mF
C36,Mo/m3
C38,Mol/Liter
C39,nA
C3S,cm3/s
C41,nF
C56,N/mm2
CCK,CCM/KG
CCM,cm3
CD,cd
CDM,Cubic dec.
CM,cm
CM2,cm2
CMH,cm/h
COP,Copies
CS,Case
CTL,Centiliter
D10,Siemens/m
D41,t/m3
D46,VA
D95,J/G
DBA,db(A)
DBC,dB(C)
DEG,Degree
DGP,ADR Points
DM,dm
DR,Drum
DZ,Dozen
E34,Gbyte
E35,Tbyte
E36,Pbyte
E59,Eibyte
E60,Pibyte
E61,Tibyte
E62,Gibyte
E63,Mibyte
E64,Kibyte
EA,Each
EE,Enzy.Units
EML,Enzyme/ml
EXR,Ex.Rate
F,F
FA,°F
FAH,Fahrenheit
FT,Foot
FT2,Square ft
FT3,Cubic ft
G,g
G/L,gai/liter
GAU,Gram Gold
GBQ,GBq
GC,°C
GGL,g/gal
GHG,g/hg
GJ,Gigajoule
GJK,GJ/kl
GJT,GJ/t
GKG,g/kg
GKH,g/KWh
GLI,g/l
GLL,US Gallon
GLM,Gal/Mi(US)
GM,g/mol
GM2,g/m2
GMB,g/MMBt
GPH,Gal/hr US
GQ,µg/m3
GRO,Gross
GT,g/t
GUT,g/ton
GW,g act.ing.
H,Hours
HAR,Hectare
HL,hl
HPA,hPa
HZ,Hz
IN,Inches
IN2,Inch2
IN3,Cubic inch
J,J
JHR,Year
JKG,J/kg
JKK,J/(kg*K)
JM3,Joule/m3
JMO,J/mol
K,K
K3,KVArh
KA,kA
KAN,Canister
KAR,Carton
KB2,kBq/c2
KBG,kBq/g
KBK,kBq/kg
KBQ,kBq
KEL,kg/KWh
KG,kg
KGF,kg/m2
KGH,kg/h
KGJ,kg/GJ
KGK,kg/kg
KGM,kg/mol
KGS,kg/s
KGT,kg/t
KGV,kg/m3
KGW,kg ac.ing.
KHZ,kHz
KI,Crate
KJ,kJ
KJG,kJ/g
KJK,KJ/kg
KJM,KJ/mol
KKW,kg/MWh
KM,km
KM2,km2
KMH,km/h
KMI,kg/min
KMK,m3/m3
KMN,K/min
KMS,K/s
KOH,kOhm
KPA,kPa
KT,kt
KV,kV
KVA,kVA
KW,KW
KWH,kWh
KWK,kai/kg
KWM,kWh/m3
Kcl,kcal
L,l
L2,l/min
LA,LA
LB,Pound
LBJ,Pound/Year
LBm,Pound/Mon
LE,AU
LHK,l/100 km
LM,m/Piece
LMH,lb/MWh
LMS,l/mol.s
LPH,Liter/hr
M,m
M%,%(m)
M%O,%0(mass)
M/S,m/s
M2,m2
M2C,m2/cm3
M2G,m2/g
M2I,1/M2
M2K,m2/kg
M2M,m2/m3
M2S,m2/s
M3,m3
M3D,m3/day
M3S,m3/s
MA,mA
MB2,MBq/c2
MBA,mbar
MBD,MMBTU (SD)
MBG,MBq/g
MBQ,MBq
MBZ,m.bar/s
MC1,"MC1 15,025"
MC2,"MC2 14,730"
MC3,"MC3 14,650"
MCF,MCF
MEJ,MJ
MG,mg
MGF,mg/cm2
MGG,mg/g
MGJ,g/m3/kpa
MGK,mg/kg
MGL,mg/l
MGQ,mg/m3
MGT,mg/t
MGW,MW
MGq,mg/10m3
MHZ,MHz
MI,Mile
MI2,Mile2
MIL,Milliinch
MIM,µm
MIN,Minutes
MIS,µs
MJ,mJ
MJK,MJ/kg
ML,ml
MLK,ml/m3
MLR,Mega Liter
MLW,ml act.in.
MM,mm
MM2,mm2
MMA,mm/a
MMG,mmol/g
MMH,mm/h
MMK,mmol/kg
MMO,mmol
MMQ,mm3
MMS,mm/s
MNM,mN/m
MOK,mol/kg
MOL,mol
MON,Months
MPA,MPa
MPB,ppb(m)
MPG,Mi/Gal(US)
MPM,ppm(m)
MPS,mPa.s
MPT,ppt(m)
MPZ,m.Pa/s
MQH,m3/h
MS,ms
MS2,m/s2
MSH,mSv/h
MTE,mT
MTM,Mppcm
MTS,m/h
MTf,Mppcf
MV,mV
MVA,MVA
MW,mW
MWH,Mwh
N,N
NAM,nm
NCH,ng/(cm2*h)
NGT,ng/t
NM,N/m
NS,ns
OCM,Ohm*cm
OHM,Ohm
OM,Ohm*m
OZ,Ounce
OZA,Fld.oz US
P,Points
PA,Pa
PAA,Pair
PAK,Pack
PAL,Pallet
PAS,Pascal sec
PCT,Group prop
PDA,Cons. Days
PMI,1/min
PMR,kg/m2*s
PPB,ppb
PPM,ppm
PPT,ppt
PRM,ug/cm2*min
PRS,Persons
PS,ps
PSI,PSI
PT,Pint US l
QMM,cbm per m
QT,Quart US l
RHO,g/cm3
RKG,1/kg
RMG,1/mg
ROL,Roll
S,Seconds
ST,Piece
STD,Hours
SVH,Sv/h
SVS,Sv/s
TAG,Days
TBQ,TBq
TC3,1/cm3
TCM,ppcm3
TES,D
TEU,TEU
TH,Thousands
THA,t/ha
TJH,t/Year
TKL,t/kl
TKT,t/kt
TM3,1/m3
TO,t
TON,US Ton
Tmt,t/Month
ToS,t/h
Tot,t/ton
UG,µg
UG6,US Gal 60F
UGL,µg/l
USH,uSv/h
V,V
V%,%(V)
V%O,%O(V)
V01,µS/cm
V02,Millimol/l
VAL,Value
VPB,ppb(V)
VPM,ppm(V)
VPT,ppt(V)
W,W
WCH,Weeks
WMK,W/(m*K)
WMP,Wm-2 ppb-1
WTL,kg/s*m2
YD,Yards
YD2,Yard2
YD3,Cubic yard
bJH,BTU/Year
bMO,BTU/Month
bbl,Btu/bbl
bft,Btu/ft3
bgl,Btu/gal
bsc,BTU/SCF
btl,Btu/lb
fcm,Fibers/cm3
fm3,Fibers/m3
fml,Fibers/ml
gGJ,g/GJ
gj3,GJ/1000m3
gjm,GJ/m3
gjt,GJ/ton
gml,g/mile
grh,g/h
jm3,J/m3
kgb,kg/bbl
kgg,kg/gal
kgj,kg/J
kgl,kg/mile
kgm,kg/MMBtu
kgs,kg/scf
kgt,kg/ton
kml,kg/kg mole
kmt,kg/m
kwk,kWh/kg
lbb,lb/Btu
lbg,lb/gal
lbl,lb/lb mol
lbm,lb/MMBtu
lbs,lb/scf
lbt,lb/ton
lcm,l/cm3
lhh,lb/Hph
lht,lb/HTHph
lmf,lb/Mft3
lmg,lb/Mgal
ltb,lb/Tbbl
ltf,lb/Tft3
ltg,lb/Tgal
lth,lb/THph
mGJ,mg/GJ
mHg,mmHg
mbb,MMBtu/bbl
mbg,MMBtu/gal
mbk,MMBtu/kg
mbl,MMBTU/lb
mbm,MMBtu/Mscf
mbs,MMBtu/scf
mbt,MMBtu/ton
mjm,MJ/m3
mkG,mcg/GJ
mmB,Mill. BTU
nGJ,ng/GJ
nQ,ng/m3
pQ,pg/m3
sM3,Spores/m3
sMb,scf/MMbbl
scf,SCF
sch,scf/h
scy,scf/y
tJH,Ton/Year
tMb,t/MMbbl
tMs,t/Mscf
tbl,t/bbl
tbt,t/Btu
tgl,ton/gal
thm,Therm
tjl,t/Joule
tm3,t/1000m3
tmt,Ton/Month
toS,Ton/Hour
tot,ton/ton
tt,t/t
ttj,t/TJ
